date,average_tas_c
1900-05-01,0.18657989501957672
1900-06-01,-1.717823410034157
1900-07-01,-12.723298645019497
1900-08-01,-23.915170860290516
1900-09-01,-25.62518768310545
1900-10-01,-22.034857368469204
1900-11-01,-25.26677436828612
1900-12-01,-27.42014045715331
1901-01-01,-22.031482887268055
1901-02-01,-9.791043472290028
1901-03-01,-1.996069717407181
1901-04-01,0.3339878082275618
1901-05-01,-0.6179695129394531
1901-06-01,-1.8313034057616733
1901-07-01,-9.084383010864258
1901-08-01,-21.70926818847653
1901-09-01,-19.267688369750942
1901-10-01,-20.099193191528286
1901-11-01,-31.192557525634754
1901-12-01,-27.73585147857665
1902-01-01,-21.839589881896956
1902-02-01,-9.629357910156216
1902-03-01,-2.1185714721679574
1902-04-01,0.04045295715332031
1902-05-01,-1.7494327545165902
1902-06-01,-3.3299781799316293
1902-07-01,-8.735902404785122
1902-08-01,-27.266797065734835
1902-09-01,-27.407773590087857
1902-10-01,-25.567829704284634
1902-11-01,-20.45510463714598
1902-12-01,-17.964869117736782
1903-01-01,-19.417458915710426
1903-02-01,-11.078607177734341
1903-03-01,-1.1030529022216342
1903-04-01,0.2446475982666243
1903-05-01,-0.2280830383300554
1903-06-01,-0.6217906951903842
1903-07-01,-2.950699996948231
1903-08-01,-10.301403808593705
1903-09-01,-16.89332065582272
1903-10-01,-21.355224800109852
1903-11-01,-25.669965934753407
1903-12-01,-25.836690139770496
1904-01-01,-20.726384735107388
1904-02-01,-8.038451385498036
1904-03-01,-0.8925693511962436
1904-04-01,0.15158309936526848
1904-05-01,-0.5343269348144304
1904-06-01,-1.6447219848632812
1904-07-01,-9.867913818359341
1904-08-01,-21.538572120666487
1904-09-01,-24.60298862457273
1904-10-01,-24.260732269287075
1904-11-01,-21.020889663696266
1904-12-01,-16.928304862976063
1905-01-01,-19.768028068542463
1905-02-01,-7.592521286010708
1905-03-01,-2.3166706085204964
1905-04-01,-0.3130817413330078
1905-05-01,-0.9277244567870753
1905-06-01,-4.526755142211869
1905-07-01,-9.205503463745117
1905-08-01,-15.962495803833008
1905-09-01,-27.442713737487765
1905-10-01,-23.68855342864987
1905-11-01,-21.882532882690413
1905-12-01,-26.13582248687743
1906-01-01,-17.20764884948727
1906-02-01,-5.596683120727505
1906-03-01,-1.905933761596657
1906-04-01,-0.4278987884521257
1906-05-01,-0.5486896514892123
1906-06-01,-1.716864395141556
1906-07-01,-12.785750389099121
1906-08-01,-18.86975097656247
1906-09-01,-18.607341003417957
1906-10-01,-20.91632785797117
1906-11-01,-29.26944007873533
1906-12-01,-22.08743038177488
1907-01-01,-18.090004920959444
1907-02-01,-8.672727203369107
1907-03-01,-0.9944171905517578
1907-04-01,-0.3375225067138672
1907-05-01,-0.44438705444332527
1907-06-01,-4.589463043212845
1907-07-01,-14.508582305908192
1907-08-01,-21.11953964233396
1907-09-01,-27.970048904418917
1907-10-01,-23.697758865356434
1907-11-01,-25.000189590454085
1907-12-01,-25.435997009277315
1908-01-01,-23.85186614990232
1908-02-01,-9.6233085632324
1908-03-01,-1.0263950347900277
1908-04-01,-0.28352432250972015
1908-05-01,-1.2291435241698991
1908-06-01,-6.368131637573242
1908-07-01,-11.742069244384766
1908-08-01,-27.010821914672817
1908-09-01,-28.695273399353
1908-10-01,-31.772282981872536
1908-11-01,-25.59986515045165
1908-12-01,-28.22894859313962
1909-01-01,-25.67717132568356
1909-02-01,-7.234687423706021
1909-03-01,-1.1501323699951058
1909-04-01,-0.6881649017333871
1909-05-01,-2.05578155517577
1909-06-01,-4.581279754638672
1909-07-01,-11.27578353881836
1909-08-01,-25.37063636779783
1909-09-01,-28.175594711303688
1909-10-01,-24.8787887573242
1909-11-01,-18.243883132934542
1909-12-01,-19.98444309234617
1910-01-01,-22.651086616516096
1910-02-01,-8.920743560790982
1910-03-01,-2.184764480590786
1910-04-01,-0.6497940063476335
1910-05-01,-1.0945465087890511
1910-06-01,-1.5297374725341797
1910-07-01,-12.812039947509732
1910-08-01,-15.706507873535145
1910-09-01,-24.730849456787098
1910-10-01,-31.263837432861294
1910-11-01,-33.6419998168945
1910-12-01,-29.29380378723141
1911-01-01,-17.162902259826637
1911-02-01,-7.771546173095658
1911-03-01,-1.7707435607910043
1911-04-01,-0.868061447143532
1911-05-01,-1.1434963226317905
1911-06-01,-4.881078338623013
1911-07-01,-9.468720245361283
1911-08-01,-19.967056274414034
1911-09-01,-10.611293411254849
1911-10-01,-24.982621574401833
1911-11-01,-25.645084190368635
1911-12-01,-34.07121238708493
1912-01-01,-21.922508430480946
1912-02-01,-10.220178222656216
1912-03-01,-2.2063949584960483
1912-04-01,-0.44397735595703125
1912-05-01,-1.765699005126919
1912-06-01,-5.444306945800747
1912-07-01,-14.905251502990723
1912-08-01,-17.047155761718727
1912-09-01,-28.082911872863747
1912-10-01,-33.41477394104001
1912-11-01,-29.64926509857176
1912-12-01,-30.05743217468259
1913-01-01,-20.79367752075194
1913-02-01,-9.963383865356434
1913-03-01,-2.283511352539051
1913-04-01,-0.33038482666012214
1913-05-01,-1.3981151580810547
1913-06-01,-3.3966377258300327
1913-07-01,-15.09433498382566
1913-08-01,-24.476533126831043
1913-09-01,-23.946442794799793
1913-10-01,-18.781642341613747
1913-11-01,-22.21880187988279
1913-12-01,-24.920051765441883
1914-01-01,-21.350948333740206
1914-02-01,-7.626021575927723
1914-03-01,-1.2151901245117074
1914-04-01,-0.56996917724609375
1914-05-01,-0.7763610839843409
1914-06-01,-1.3334796905517123
1914-07-01,-11.85496711730957
1914-08-01,-24.70024547576901
1914-09-01,-23.530636215209938
1914-10-01,-32.297261428832996
1914-11-01,-21.1473434448242
1914-12-01,-28.479881477355946
1915-01-01,-26.927009963989235
1915-02-01,-6.955231475830033
1915-03-01,-2.156884765624966
1915-04-01,-0.27009658813472015
1915-05-01,-2.413102340698231
1915-06-01,-3.2033859252929346
1915-07-01,-12.253704452514626
1915-08-01,-23.346347999572743
1915-09-01,-26.370079421997048
1915-10-01,-28.188867187499966
1915-11-01,-30.478702354431135
1915-12-01,-30.94792499542234
1916-01-01,-22.137578010559054
1916-02-01,-9.808156204223621
1916-03-01,-1.8295856475829737
1916-04-01,-0.5186054229736214
1916-05-01,-2.0418914794921648
1916-06-01,-3.624802398681595
1916-07-01,-15.406452178955078
1916-08-01,-19.414729499816872
1916-09-01,-26.175930976867647
1916-10-01,-24.934016990661604
1916-11-01,-24.75517749786374
1916-12-01,-31.937010765075655
1917-01-01,-20.15651626586913
1917-02-01,-7.303447723388672
1917-03-01,-1.2222721099853402
1917-04-01,8.724212646598062e-4
1917-05-01,-2.2287220001220476
1917-06-01,-7.199166870117153
1917-07-01,-18.224798774719204
1917-08-01,-24.96191654205319
1917-09-01,-27.478175354003895
