date,year,month,average_tas_c
2054-04-04,2054,Apr,4.527294921875011
2054-05-05,2054,May,2.3140248018152647
2054-06-04,2054,Jun,0.6835689769071678
2054-07-05,2054,Jul,0.206577794692123
2054-08-04,2054,Aug,-1.028515265969645
2054-09-04,2054,Sep,-2.040421429802393
2054-10-04,2054,Oct,-5.705060532513755
2054-11-02,2054,Nov,-7.315207447725186
2054-12-03,2054,Dec,-2.2853005801929953
2055-01-02,2055,Jan,-0.297532743566137
2055-02-02,2055,Feb,1.866973876953125
2055-03-04,2055,Mar,3.5322915469899385
2055-04-04,2055,Apr,5.911068187040485
2055-05-05,2055,May,2.214559038947641
2055-06-04,2055,Jun,1.0672560747932494
2055-07-05,2055,Jul,-2.640245863970563
2055-08-04,2055,Aug,-4.445730411305135
2055-09-04,2055,Sep,-6.532300881778497
2055-10-04,2055,Oct,-11.589699240291793
2055-11-02,2055,Nov,-11.856808651194854
2055-12-03,2055,Dec,-8.153079044117646
2056-01-02,2056,Jan,-2.7451922248391156
2056-02-02,2056,Feb,1.5475593118106872
2056-03-03,2056,Mar,2.3983793370863964
2056-04-03,2056,Apr,2.5611999511718864
2056-05-04,2056,May,1.6364580939797975
2056-06-03,2056,Jun,0.4557462804457941
2056-07-04,2056,Jul,-1.339169850068913
2056-08-03,2056,Aug,-5.858446547564313
2056-09-03,2056,Sep,-4.902592558019251
2056-10-03,2056,Oct,-12.662299840590492
2056-11-01,2056,Nov,-11.002662209903463
2056-12-02,2056,Dec,-6.3260875028722126
2057-01-01,2057,Jan,-0.9159872616038456
2057-02-01,2057,Feb,0.23308284983914973
2057-03-03,2057,Mar,4.607202148437523
2057-04-03,2057,Apr,5.261123477711408
2057-05-04,2057,May,3.505437155330924
2057-06-03,2057,Jun,0.022227926815276078
2057-07-04,2057,Jul,-2.686471019071689
2057-08-03,2057,Aug,-3.736594884535805
2057-09-03,2057,Sep,-7.884244312959538
2057-10-03,2057,Oct,-13.177549474379589
2057-11-01,2057,Nov,-12.135644172219656
2057-12-02,2057,Dec,-9.276321949678277
2058-01-01,2058,Jan,-2.8895554486442734
2058-02-01,2058,Feb,0.1378863166360702
2058-03-03,2058,Mar,1.9009751263786825
2058-04-03,2058,Apr,2.4979208553538683
2058-05-04,2058,May,1.8076907887178777
2058-06-03,2058,Jun,-0.10060281192551201
2058-07-04,2058,Jul,-2.4479628619025675
2058-08-03,2058,Aug,-2.001520134420957
2058-09-03,2058,Sep,-9.767069738051475
2058-10-03,2058,Oct,-9.926255170036768
2058-11-01,2058,Nov,-7.592505241842787
2058-12-02,2058,Dec,-8.865049115349223
2059-01-01,2059,Jan,-3.818228687959561
2059-02-01,2059,Feb,1.2141335880055522
2059-03-03,2059,Mar,3.237804098690276
2059-04-03,2059,Apr,2.5822556439568416
2059-05-04,2059,May,2.6819845760570047
